,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,,
Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI
1,Pontus Aberg\abergpo01,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,22,18:30
2,Andrew Cogliano\coglian01,0,0,0,0,2,0,0,0,0,0,0,0,1,0,18,12:07
3,Jake Dotchin\dotchja01,0,0,0,0,20,0,0,0,0,0,0,0,1,0,14,10:04
4,Ryan Getzlaf\getzlry01,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,25,20:49
5,Brian Gibbons\gibbobr02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,12:14
6,Adam Henrique\henriad01,0,0,0,-2,0,0,0,0,0,0,0,0,0,,23,15:06
7,Ondrej Kase\kaseon01,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,23,18:26
8,Ryan Kesler\keslery01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,18:24
9,Jacob Larsson\larssja01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,15:43
10,Hampus Lindholm\lindhha01,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,30,2:37
11,Joshua Mahura\mahurjo01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,13:02
12,Josh Manson\mansojo01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,31,22:54
13,Brandon Montour\montobr01,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,30,1:35
14,Nick Ritchie\ritchni01,0,0,0,0,2,0,0,0,0,0,0,0,3,0,21,15:19
15,Carter Rowney\rowneca01,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:54
16,Kiefer Sherwood\sherwki01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,10:17
17,Jakob Silfverberg\silfvja01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,14:11
18,Daniel Sprong\spronda01,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,19,12:22
,TOTAL,0,0,0,,28,0,0,0,,,,,40,0,,